Application Number,Authorization Number,File Number,Interim Licence Number,Authorization Status,Authorization Status Date,Authorization Holder,Authorization Issue Date,Authorization Effective Date,Authorization Expiry Date,Authorization Type,Allocation Purpose,Allocation Classification,Allocation Sub Classification,Allocation Specific Classification,Allocation Point Type,Allocation Status Date,Allocation Number,Allocation Type,Allocation Status,Allocation Priority Number,Allocation Water Body,Allocation Diversion Rate,Allocation Diversion Rate Units,Allocation Diversion Quantity (M3),Allocation Consumptive Use (M3),Allocation Losses (M3),Allocation Return Flow (M3),Allocation Centroid ATS,Allocation Production Interval Upper (M),Allocation Production Interval Lower (M),Allocation Production Well ID,Allocation Irrigable Area (HA),Allocation River Sub Basin Code,Allocation River Sub Basin,Allocation River Basin,Allocation Latitude,Allocation Longitude,Authorization Regulator,Legacy Authorization Number,AuthorizationNumber,PdfHyperlink,DocumentID,PdfFound,PdfSource,LastChecked
33644681,10002862,,,Active,2025-09-15 22:29:41,TAQA North Ltd.,2025-09-15 00:00:00,2025-11-01 00:00:00,2026-01-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-09-15 22:29:41,AER0104869,Surface Water,Active,,Dugout,0.2,Cubic Metres Per Second,11000.0,11000.0,,,NE-06-038-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2423,-114.552,Alberta Energy Regulator,,10002862,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002862,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:57
33654368,10002930,,,Active,2025-09-19 14:18:17,Paramount Resources Ltd.,2025-09-19 00:00:00,2025-09-16 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Upstream Hydrostatic Testing & Pipeline Construction & Operation,Point of diversion,2025-09-19 14:18:17,AER0105414,Surface Water,Active,,Dugout,0.1,Cubic Metres Per Second,1500.0,1500.0,,,SE-04-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4072,-114.8005,Alberta Energy Regulator,,10002930,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002930,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:59
33696261,10003271,,,Active,2025-11-04 18:54:34.000001,Paramount Resources Ltd.,2025-11-04 00:00:00,2025-11-04 00:00:00,2025-12-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-11-04 18:54:34.000001,AER0107470,,Active,,,,,,,,,NW-27-038-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.3038,-114.785,Alberta Energy Regulator,,10003271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:05
33696295,10003206,,,Active,2025-10-24 15:15:03,Highwood Asset Management Ltd.,2025-10-24 00:00:00,2025-10-24 00:00:00,2026-10-22 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-24 15:15:03,AER0107474,,Active,,,,,,,,,SW-06-043-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6759,-114.7198,Alberta Energy Regulator,,10003206,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003206,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:04
33719228,10003292,,,Active,2025-11-05 22:09:17,Sifton Petroleum Inc.,2025-11-05 00:00:00,2025-11-01 00:00:00,2026-02-28 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-11-05 22:09:17,AER0108570,,Active,,,,,,,,,SW-20-043-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7146,-114.6928,Alberta Energy Regulator,,10003292,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003292,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:05
33733328,10003351,,,Active,2025-11-13 12:13:45,TAQA North Ltd.,2025-11-13 00:00:00,2025-11-10 00:00:00,2026-01-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-11-13 12:13:45,AER0109144,,Active,,,,,,,,,NW-01-038-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2422,-114.7326,Alberta Energy Regulator,,10003351,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003351,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:07
33715245,10002271,,,Active,2025-10-29 16:00:45.000001,Paramount Resources Ltd.,2025-06-26 00:00:00,2025-07-17 00:00:00,2026-07-16 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-10-29 16:00:45.000001,AER0100434,Surface Water,Active,,Medicine River,0.15,Cubic Metres Per Second,500000.0,500000.0,,,NW-29-040-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4774,-114.4051,Alberta Energy Regulator,,10002271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
33552551,10002323,,,Active,2025-07-07 13:34:21,Baytex Energy Ltd.,2025-07-07 00:00:00,2025-07-15 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-07-07 13:34:21,AER0101201,Surface Water,Active,,Unnamed Stream,0.125,Cubic Metres Per Second,12000.0,12000.0,,,SE-29-041-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.5553,-114.39,Alberta Energy Regulator,,10002323,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002323,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
33563572,10002430,,,Active,2025-07-21 14:51:37,Baytex Energy Ltd.,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-21 14:51:37,AER0101664,,Active,,,,,,,,,NE-03-045-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8525,-114.2039,Alberta Energy Regulator,,10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
33573584,10002459,,,Active,2025-07-23 15:35:08,Baytex Energy Ltd.,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of diversion,2025-07-23 15:35:08,AER0102288,Surface Water,Active,,Dugout,0.05,Cubic Metres Per Second,1500.0,1500.0,,,SE-24-044-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8024,-114.3004,Alberta Energy Regulator,,10002459,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002459,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:42
