WSC,LAT,LON,PolicyType,MeanAnnualFlow_m3s,StreamSize
05DD009,52.81997,-115.5203,SWA,3.743,Large
05DE007,52.92991,-115.011,SWA,1.155,Medium
05DE009,53.40585,-114.7631,SWA,0.053,Small
05DE010,53.31548,-114.758,SWA,230.931,Large
05DE911,53.24806,-114.7056,SWA,1.51,Medium
05DF001,53.53721,-113.4855,SWA,180.942,Large
05DF003,53.41455,-113.5165,SWA,0.161,Small
05DF004,53.31149,-114.0521,SWA,0.257,Small
05DF006,53.41263,-113.5909,SWA,0.054,Small
05DF008,53.23379,-114.0508,SWA,0.057,Small
05EA002,53.63583,-113.6272,SWA,0.922,Medium
05EA005,53.65535,-113.7625,SWA,0.303,Medium
05EA011,53.62339,-113.6953,SWA,0.007,Small
05EA012,53.59028,-113.8854,SWA,0.177,Small
05EE006,53.29409,-112.0499,SWA,0.004,Small
05EE009,53.49118,-112.0398,SWA,0.096,Small
05EE010,53.61928,-111.4517,SWA,0.514,Medium
05EF001,53.52319,-109.6179,SWA,198.644,Large
05FA001,52.66325,-113.5814,SWA,0.836,Medium
05FA011,52.94859,-112.9647,SWA,1.465,Medium
05FA025,53.04147,-112.8299,SWA,0.036,Small
05FC001,52.57406,-112.3417,SWA,2.663,Large
05FC008,52.40182,-111.4114,WMP,,N/A
05FE004,52.85644,-110.0193,SWA,4.434,Large
06AB001,54.46749,-111.1876,SWA,10.621,Large
06AD006,54.35516,-110.2173,SWA,10.56,Large
07AD002,53.42429,-117.5694,Other,,N/A
07AG003,53.59835,-116.2718,SWA,2.466,Medium
07AG007,53.69705,-116.162,Other,,N/A
07BB002,53.60419,-115.0047,Other,,N/A
07BE001,54.72203,-113.288,Other,,N/A
07BK001,55.30487,-114.7562,WMP,,N/A
07CA006,55.1993,-112.4666,SWA,1.464,Medium
07CA012,55.17239,-111.7247,SWA,1.549,Medium
07CB002,55.64247,-112.1528,SWA,3.124,Large
07CD001,56.68525,-111.2552,SWA,105.992,Large
07CD004,56.70893,-111.3563,SWA,2.106,Medium
07CD005,56.66349,-110.9287,SWA,70.1,Large
07CE002,55.83711,-110.8691,SWA,13.348,Large
07CE003,55.86969,-110.9174,SWA,0.789,Medium
07DA001,56.78089,-111.4026,SWA,529.288,Large
07DA006,56.99934,-111.407,SWA,3.911,Large
07DA008,57.19128,-111.57,SWA,2.72,Large
07DB001,57.21042,-111.695,SWA,8.737,Large
07DC001,57.65117,-111.2025,SWA,23.025,Large
07FD006,55.64435,-118.7002,WMP,,N/A
07GD001,55.18927,-119.4372,WMP,,N/A
07GE001,55.07125,-118.8029,WMP,,N/A
07GG001,54.75201,-117.2057,Other,,N/A
07GH002,55.45623,-117.1619,WMP,,N/A
07GJ001,55.7146,-117.6231,WMP,,N/A
07HA003,56.05564,-117.1299,WMP,,N/A
07HC001,56.92004,-117.6184,WMP,,N/A
