WSC,Latitude,Longitude,MeanAnnualFlow_m3s,StreamSize
06AD006,54.35516,-110.2173,10.56,Large
07AD002,53.42429,-117.5694,167.678,Large
07AG003,53.59835,-116.2718,2.466,Medium
07AG007,53.69705,-116.162,30.329,Large
07BB002,53.60419,-115.0047,14.987,Large
07BE001,54.72203,-113.288,367.506,Large
07BK001,55.30487,-114.7562,36.27,Large
07CA006,55.1993,-112.4666,1.464,Medium
07CA012,55.17239,-111.7247,1.549,Medium
07CB002,55.64247,-112.1528,3.124,Large
07CD001,56.68525,-111.2552,105.992,Large
07CD004,56.70893,-111.3563,2.106,Medium
07CD005,56.66349,-110.9287,70.1,Large
07CE002,55.83711,-110.8691,13.348,Large
07CE003,55.86969,-110.9174,0.789,Medium
07DA001,56.78089,-111.4026,529.288,Large
07DA006,56.99934,-111.407,3.911,Large
07DA008,57.19128,-111.57,2.72,Large
07DB001,57.21042,-111.695,8.737,Large
07DC001,57.65117,-111.2025,23.025,Large
07FD006,55.64435,-118.7002,0.459,Medium
07GD001,55.18927,-119.4372,1.145,Medium
07GE001,55.07125,-118.8029,75.285,Large
07GG001,54.75201,-117.2057,2.574,Large
07GH002,55.45623,-117.1619,30.047,Large
07GJ001,55.7146,-117.6231,272.847,Large
07HA003,56.05564,-117.1299,1.062,Medium
07HC001,56.92004,-117.6184,7.144,Large
